Journal Abbreviation,Journal Name,Article,Author,Year,Volume
RP,RESEARCH POLICY,The disciplinary effect of post-grant review - Causal evidence from European patent opposition,"Nagler, Markus; Sorg, Stefan",2020,49
MISQ,MIS QUARTERLY,IT-ENABLED SELF-MONITORING FOR CHRONIC DISEASE SELF-MANAGEMENT: AN INTERDISCIPLINARY REVIEW,"Jiang, Jinglu; Cameron, Ann-Frances",2020,44
RFIN,REVIEW OF FINANCE,Attention for the Inattentive: Positive Effects of Negative Financial Shocks,"Ouimet, Paige; Tate, Geoffrey",2020,24
JFE,JOURNAL OF FINANCIAL ECONOMICS,Time-varying inflation risk and stock returns,"Boons, Martijn; Duarte, Fernando; de Roon, Frans; Szymanowska, Marta",2020,136
AR,ACCOUNTING REVIEW,Do Firms That Have a Common Signing Auditor Exhibit Higher Earnings Comparability?,"Chen, Jeff Zeyun; Chen, Mei-Hui; Chin, Chen-Lung; Lobo, Gerald J.",2020,95
MS,MANAGEMENT SCIENCE,The Implied Truth Effect: Attaching Warnings to a Subset of Fake News Headlines Increases Perceived Accuracy of Headlines Without Warnings,"Pennycook, Gordon; Bear, Adam; Collins, Evan T.; Rand, David G.",2020,66
JPE,JOURNAL OF POLITICAL ECONOMY,Self-Fulfilling Runs: Evidence from the US Life Insurance Industry,"Foley-Fisher, Nathan; Narajabad, Borghan; Verani, Stephane",2020,128
JMS,JOURNAL OF MANAGEMENT STUDIES,A Transaction Cost Perspective of Alliance Portfolio Diversity,"Penney, Christopher R.; Combs, James G.",2020,57
MS,MANAGEMENT SCIENCE,"That Could Have Been Me: Director Deaths, CEO Mortality Salience, and Corporate Prosocial Behavior","Chen, Guoli; Crossland, Craig; Huang, Sterling",2020,66
JCP,JOURNAL OF CONSUMER PSYCHOLOGY,Assertive Ads for Want or Should? It Depends on Consumers' Power,"Wang, Cindy Xin; Zhang Jiao",2020,30
JBE,JOURNAL OF BUSINESS ETHICS,Voluntary Engagement in Environmental Projects: Evidence from Environmental Violators,"Lee, Gladys; Xiao, Xinning",2020,164
MSOM,M&SOM-MANUFACTURING & SERVICE OPERATIONS MANAGEMENT,"Focus, Uncertain Needs, and Consumer Choice in the Hospital Industry","Sfekas, Andrew",2020,22
MISQ,MIS QUARTERLY,THE BRIGHT AND DARK SIDES OF TECHNOSTRESS: A MIXED-METHODS STUDY INVOLVING HEALTHCARE IT,"Califf, Christopher B.; Sarker, Saonee; Sarker, Suprateek",2020,44
CAR,CONTEMPORARY ACCOUNTING RESEARCH,Audit Regulation and Cost of Equity Capital: Evidence from thePCAOB's International Inspection Regime,"Lamoreaux, Phillip T.; Mauler, Landon M.; Newton, Nathan J.",2020,37
ROFS,REVIEW OF FINANCIAL STUDIES,"Politics, State Ownership, and Corporate Investments","Alok, Shashwat; Ayyagari, Meghana",2020,33
JAP,JOURNAL OF APPLIED PSYCHOLOGY,An Identity-Based Integrative Needs Model of Crafting: Crafting Within and Across Life Domains,"de Bloom, Jessica; Vaziri, Hoda; Tay, Louis; Kujanpaa, Miika",2020,105
AR,ACCOUNTING REVIEW,Private Equity Net Asset Values and Future Cash Flows,"Jenkinson, Tim; Landsman, Wayne R.; Rountree, Brian R.; Soonawalla, Kazbi",2020,95
JBE,JOURNAL OF BUSINESS ETHICS,Ethical Judgments About Social Entrepreneurship in Sub-Saharan Africa: The Influence of Spatio-Cultural Meanings,"De Avillez, Maria Margarida; Greenman, Andrew; Marlow, Susan",2020,161
JPE,JOURNAL OF POLITICAL ECONOMY,Identification in Auction Models with Interdependent Costs,"Somaini, Paulo",2020,128
MISQ,MIS QUARTERLY,THE EFFECT OF SHORTENING LOCK-IN PERIODS IN TELECOMMUNICATION SERVICES,"Yang, Baojiang; de Matos, Miguel Godinho; Ferreira, Pedro",2020,44
JBE,JOURNAL OF BUSINESS ETHICS,Dissent in Consensusland: An Agonistic Problematization of Multi-stakeholder Governance,"Fougere, Martin; Solitander, Nikodemus",2020,164
JFQA,JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS,A Tractable Framework for Option Pricing with Dynamic Market Maker Inventory and Wealth,"Fournier, Mathieu; Jacobs, Kris",2020,55
JF,JOURNAL OF FINANCE,"Sovereign Debt Portfolios, Bond Risks, and the Credibility of Monetary Policy","Du, Wenxin; Pflueger, Carolin E.; Schreger, Jesse",2020,75
MS,MANAGEMENT SCIENCE,What Drives Risk Perception? A Global Survey with Financial Professionals and Laypeople,"Holzmeister, Felix; Huber, Jurgen; Kirchler, Michael; Lindner, Florian; Weitzel, Utz; Zeisberger, Stefan",2020,66
JBE,JOURNAL OF BUSINESS ETHICS,The Influence of Firm Size on the ESG Score: Corporate Sustainability Ratings Under Review,"Drempetic, Samuel; Klein, Christian; Zwergel, Bernhard",2020,167
CAR,CONTEMPORARY ACCOUNTING RESEARCH,Auditing and the Development of the Modern State,"Free, Clinton; Radcliffe, Vaughan S.; Spence, Crawford; Stein, Mitchell J.",2020,37
JAR,JOURNAL OF ACCOUNTING RESEARCH,Evidence on the Use and Efficacy of Internal Whistleblowing Systems,"Stubben, Stephen R.; Welch, Kyle T.",2020,58
SMJ,STRATEGIC MANAGEMENT JOURNAL,Reliance on science: Worldwide front-page patent citations to scientific articles,"Marx, Matt; Fuegi, Aaron",2020,41
MS,MANAGEMENT SCIENCE,The Economics of Line-Sitting,"Cui, Shiliang; Wang, Zhongbin; Yang, Luyi",2020,66
AMR,ACADEMY OF MANAGEMENT REVIEW,DARK KNIGHTS: WHEN AND WHY AN EMPLOYEE BECOMES A WORKPLACE VIGILANTE,"Decelles, Katherine A.; Aquino, Karl",2020,45
JFE,JOURNAL OF FINANCIAL ECONOMICS,Employment effects of unconventional monetary policy: Evidence from QE,"Luck, Stephan; Zimmermann, Tom",2020,135
ECMTR,ECONOMETRICA,Estimating the Effect of Treatments Allocated by Randomized Waiting Lists,"De Chaisemartin, Clement; Behaghel, Luc",2020,88
JFQA,JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS,Employee-Manager Alliances and Shareholder Returns from Acquisitions,"Masulis, Ronald W.; Wang, Cong; Xie, Fei",2020,55
JMAN,JOURNAL OF MANAGEMENT,"Media Coverage of Firms: Background, Integration, and Directions for Future Research","Graf-Vlachy, Lorenz; Oliver, Abbie Griffith; Banfield, Richard; Koenig, Andreas; Bundy, Jonathan",2020,46
JBE,JOURNAL OF BUSINESS ETHICS,Ethics Education in the Qualification of Professional Accountants: Insights from Australia and New Zealand,"West, Andrew; Buckby, Sherrena",2020,164
AER,AMERICAN ECONOMIC REVIEW,"Multidimensional Skills, Sorting, and Human Capital Accumulation","Lise, Jeremy; Postel-Vinay, Fabien",2020,110
JBE,JOURNAL OF BUSINESS ETHICS,Managers' Restorative Versus Punitive Responses to Employee Wrongdoing: A Qualitative Investigation,"Neale, Nathan Robert; Butterfield, Kenneth D.; Goodstein, Jerry; Tripp, Thomas M.",2020,161
JFE,JOURNAL OF FINANCIAL ECONOMICS,The job rating game: Revolving doors and analyst incentives,"Kempf, Elisabeth",2020,135
ROAS,REVIEW OF ACCOUNTING STUDIES,High-frequency traders and price informativeness during earnings announcements,"Bhattacharya, Nilabhra; Chakrabarty, Bidisha; Wang, Xu (Frank)",2020,25
ETP,ENTREPRENEURSHIP THEORY AND PRACTICE,Mapping the Field of Research on Entrepreneurial Organizations (1937-2016): A Bibliometric Analysis and Research Agenda,"Lampe, Jan; Kraft, Priscilla Sarai; Bausch, Andreas",2020,44
JCP,JOURNAL OF CONSUMER PSYCHOLOGY,The Impact of Time-Keeping Direction on Compensatory Consumption: The Role of Perceived Resource Deficiency,"Kapoor, Ankur; Tripathi, Sanjeev",2020,30
JAE,JOURNAL OF ACCOUNTING & ECONOMICS,Machine plus man: A field experiment on the role of discretion in augmenting AI-based lending models,"Costello, Anna M.; Down, Andrea K.; Mehta, Mihir N.",2020,70
JBE,JOURNAL OF BUSINESS ETHICS,How to Encourage Social Entrepreneurship Action? Using Web 2.0 Technologies in Higher Education Institutions,"Garcia-Morales, Victor Jesus; Martin-Rojas, Rodrigo; Garde-Sanchez, Raquel",2020,161
HRM,HUMAN RESOURCE MANAGEMENT,"Development or maintenance? Dual-oriented human resource system, employee achievement motivation, and work well-being","Lin, Congcong; Li, Xiufeng; Lam, Long W.",2020,59
AER,AMERICAN ECONOMIC REVIEW,Tax-Exempt Lobbying: Corporate Philanthropy as a Tool for Political Influence,"Bertrand, Marianne; Bombardini, Matilde; Fisman, Raymond; Trebbi, Francesco",2020,110
ROFS,REVIEW OF FINANCIAL STUDIES,Initial Coin Offerings: Financing Growth with Cryptocurrency Token Sales,"Howell, Sabrina T.; Niessner, Marina; Yermack, David",2020,33
MIT,MIT SLOAN MANAGEMENT REVIEW,Accelergting Innovation What companies can learn from one of the world's largest networks of accelerator labs,"Altman, Elizabeth J.; Nagle, Frank",2020,61
SMJ,STRATEGIC MANAGEMENT JOURNAL,History and the micro-foundations of dynamic capabilities,"Suddaby, Roy; Coraiola, Ego; Harvey, Charles; Foster, William",2020,41
JMR,JOURNAL OF MARKETING RESEARCH,Marketplace Donations: The Role of Moral Identity Discrepancy and Gender,"Shang, Jen; Reed, Americus, II; Sargeant, Adrian; Carpenter, Kathryn",2020,57
MS,MANAGEMENT SCIENCE,Discretionary Remote Working Helps Mothers Without Harming Non-mothers: Evidence from a Field Experiment,"Sherman, Eliot L.",2020,66
AMR,ACADEMY OF MANAGEMENT REVIEW,"RUMOR COMMUNITIES, SOCIAL MEDIA, AND FORTHCOMING INNOVATIONS: THE SHAPING OF TECHNOLOGICAL FRAMES IN PRODUCT MARKET EVOLUTION","Seidel, Victor P.; Hannigan, Timothy R.; Phillips, Nelson",2020,45
JFQA,JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS,Using Stocks or Portfolios in Tests of Factor Models,"Ang, Andrew; Liu, Jun; Schwarz, Krista",2020,55
JBE,JOURNAL OF BUSINESS ETHICS,Few Women on Boards: What's Identity Got to Do With It?,"Markoczy, Livia; Sun, Sunny Li; Zhu, Jigao",2020,165
MS,MANAGEMENT SCIENCE,Sharing the Revenues from Broadcasting Sport Events,"Bergantinos, Gustavo; Moreno-Ternero, Juan D.",2020,66
JAP,JOURNAL OF APPLIED PSYCHOLOGY,Episodic Work-Family Conflict and Strain: A Dynamic Perspective,"French, Kimberly A.; Allen, Tammy D.",2020,105
JFE,JOURNAL OF FINANCIAL ECONOMICS,Competition and cooperation in mutual fund families,"Evans, Richard Burtis; Prado, Melissa Porras; Zambrana, Rafael",2020,136
MS,MANAGEMENT SCIENCE,Matching and Winning? The Impact of Upper and Middle Managers on Firm Performance in Major League Baseball,"Peeters, Thomas L. P. R.; Salaga, Steven; Juravich, Matthew",2020,66
JPE,JOURNAL OF POLITICAL ECONOMY,Collusion in Markets with Syndication,"Hatfield, John William; Kominers, Scott Duke; Lowery, Richard; Barry, Jordan M.",2020,128
ECMTR,ECONOMETRICA,Misinterpreting Others and the Fragility of Social Learning,"Frick, Mira; Iijima, Ryota; Ishii, Yuhta",2020,88
MSOM,M&SOM-MANUFACTURING & SERVICE OPERATIONS MANAGEMENT,Retailer-Direct Financing Contracts Under Consignment,"Gupta, Diwakar; Chen, Yibin",2020,22
JFE,JOURNAL OF FINANCIAL ECONOMICS,The effect of minority veto rights on controller pay tunneling,"Fried, Jesse M.; Kamar, Ehud; Yafeh, Yishay",2020,138
JFE,JOURNAL OF FINANCIAL ECONOMICS,Cheap-stock tunneling around preemptive rights,"Fried, Jesse M.; Spamann, Holger",2020,137
OR,OPERATIONS RESEARCH,Fleet Coordination in Decentralized Humanitarian Operations Funded by Earmarked Donations,"Pedraza-Martinez, Alfonso J.; Hasija, Sameer; Van Wassenhove, Luk N.",2020,68
MS,MANAGEMENT SCIENCE,Heuristic Thinking in Patient Care,"Diwas Singh, K. C.",2020,66
ROFS,REVIEW OF FINANCIAL STUDIES,Real Option Exercise: Empirical Evidence,"Decaire, Paul H.; Gilje, Erik P.; Taillard, Jerome P.",2020,33
OR,OPERATIONS RESEARCH,Pseudo-Valid Cutting Planes for Two-Stage Mixed-Integer Stochastic Programs with Right-Hand-Side Uncertainty,"Romeijnders, Ward; van der Laan, Niels",2020,68
OSTD,ORGANIZATION STUDIES,"Work Design for Global Professionals: Connectivity demands, connectivity behaviors, and their effects on psychological and behavioral outcomes","Nurmi, Niina; Hinds, Pamela J.",2020,41
RP,RESEARCH POLICY,Ties that bind: Ethnic inventors in multinational enterprises' knowledge integration and exploitation,"Marino, Alba; Mudambi, Ram; Perri, Alessandra; Scalera, Vittoria G.",2020,49
RP,RESEARCH POLICY,Are R&D-Intensive firms also corporate social responsibility specialists? A multicountry study,"Fu, Limin; Boehe, Dirk; Orlitzky, Marc",2020,49
JMAN,JOURNAL OF MANAGEMENT,Line Managers as Paradox Navigators in HRM Implementation: Balancing Consistency and Individual Responsiveness,"Fu, Na; Flood, Patrick C.; Rousseau, Denise M.; Morris, Tim",2020,46
JOOM,JOURNAL OF OPERATIONS MANAGEMENT,"Does social media elevate supply chain importance? An empirical examination of supply chain glitches, Twitter reactions, and stock market returns","Schmidt, Christoph G.; Wuttke, David A.; Ball, George P.; Heese, Hans Sebastian",2020,66
JMR,JOURNAL OF MARKETING RESEARCH,Consumer Search and Filtering on Online Retail Platforms,"Jiang, Baojun; Zou, Tianxin",2020,57
JBE,JOURNAL OF BUSINESS ETHICS,Is It Ethical for For-profit Firms to Practice a Religion? A Rawlsian Thought Experiment,"Fitzgerald, M. Paula; Langenderfer, Jeff; Fitzgerald, Megan Lynn",2020,166
OR,OPERATIONS RESEARCH,Social and Monopoly Optimization in Observable Queues,"Hassin, Refael; Snitkovsky, Ran I.",2020,68
MS,MANAGEMENT SCIENCE,Integrating Dynamic Pricing with Inventory Decisions Under Lost Sales,"Feng, Qi; Luo, Sirong; Shanthikumar, J. George",2020,66
AR,ACCOUNTING REVIEW,When are Firms Sued for Qualitative Disclosures? Implications of the Safe Harbor for Forward-Looking Statements,"Cazier, Richard A.; Merkley, Kenneth J.; Treu, John S.",2020,95
JBV,JOURNAL OF BUSINESS VENTURING,"Founder passion, neural engagement and informal investor interest in startup pitches: An fMRI study","Shane, Scott; Drover, Will; Clingingsmith, David; Cerf, Moran",2020,35
OBHDP,ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,Humility breeds authenticity: How authentic leader humility shapes follower vulnerability and felt authenticity,"Oc, Burak; Daniels, Michael A.; Diefendorff, James M.; Bashshur, Michael R.; Greguras, Gary J.",2020,158
JM,JOURNAL OF MARKETING,Full Disclosure: How Smartphones Enhance Consumer Self-Disclosure,"Melumad, Shiri; Meyer, Robert",2020,84
HBR,HARVARD BUSINESS REVIEW,The Risks You Can't Foresee,"Kaplan, Robert S.; Leonard, Herman B. Dutch; Mikes, Anette",2020,98
RP,RESEARCH POLICY,Even winners need to learn: How government entrepreneurship programs can support innovative ventures,"Buffart, Mickael; Croidieu, Gregoire; Kim, Phillip H.; Bowman, Ray",2020,49
SMJ,STRATEGIC MANAGEMENT JOURNAL,Cog in the wheel: Resource release and the scope of interdependencies in corporate adjustment activities,"Keum, Dongil D.",2020,41
MISQ,MIS QUARTERLY,CORPORATE STRATEGY CHANGES AND INFORMATION TECHNOLOGY CONTROL EFFECTIVENESS IN MULTIBUSINESS FIRMS,"Tanriverdi, Huseyin; Du, Kui",2020,44
JMR,JOURNAL OF MARKETING RESEARCH,Should Your Brand Pick a Side? How Market Share Determines the Impact of Corporate Political Advocacy,"Hydock, Chris; Paharia, Neeru; Blair, Sean",2020,57
JBE,JOURNAL OF BUSINESS ETHICS,Managing Tensions in Corporate Sustainability Through a Practical Wisdom Lens,"Sasse-Werhahn, Laura F.; Bachmann, Claudius; Habisch, Andre",2020,163
HR,HUMAN RELATIONS,The relationship between working alliance and client outcomes in coaching: A meta-analysis,"Grassmann, Carolin; Schoelmerich, Franziska; Schermuly, Carsten C.",2020,73
AMJ,ACADEMY OF MANAGEMENT JOURNAL,"ORGANIZATIONS, RISK TRANSLATION, AND THE ECOLOGY OF RISKS: THE DISCURSIVE CONSTRUCTION OF A NOVEL RISK","Hardy, Cynthia; Maguire, Steve",2020,63
MS,MANAGEMENT SCIENCE,Analysts' Beauty and Performance,"Cao, Ying; Guan, Feng; Li, Zengquan; Yang, Yong George",2020,66
JBE,JOURNAL OF BUSINESS ETHICS,The Peasant Way of a More than Radical Democracy: The Case of La Via Campesina,"von Redecker, Sophie; Herzig, Christian",2020,164
MSOM,M&SOM-MANUFACTURING & SERVICE OPERATIONS MANAGEMENT,Designing the Right Global Supply Chain Network,"Cohen, Morris A.; Lee, Hau L.",2020,22
JBE,JOURNAL OF BUSINESS ETHICS,A MacIntyrean Perspective on the Collapse of a Money Market Fund,"Roncella, Andrea; Ferrero, Ignacio",2020,165
JBE,JOURNAL OF BUSINESS ETHICS,"The Effect of Fairness, Responsible Leadership and Worthy Work on Multiple Dimensions of Meaningful Work","Lips-Wiersma, Marjolein; Haar, Jarrod; Wright, Sarah",2020,161
JOOM,JOURNAL OF OPERATIONS MANAGEMENT,How institutional pressures and managerial incentives elicit carbon transparency in global supply chains,"Villena, Veronica H.; Dhanorkar, Suvrat",2020,66
MIT,MIT SLOAN MANAGEMENT REVIEW,The Future of Platforms,"Cusumano, Michael A.; Yoffie, David B.; Gawer, Annabelle",2020,61
AR,ACCOUNTING REVIEW,The Effect of Temporary Changes and Expectations on Individuals' Decisions: Evidence from a Tax Compliance Setting,"Austin, Chelsea Rae; Bobek, Donna D.; LaMothe, Ethan G.",2020,95
JPE,JOURNAL OF POLITICAL ECONOMY,An Empirical Analysis of Racial Differences in Police Use of Force: A Comment,"Durlauf, Steven N.; Heckman, James J.",2020,128
ETP,ENTREPRENEURSHIP THEORY AND PRACTICE,The Impact of Socioemotional Wealth on Decline-Stemming Strategies of Family Firms,"Laffranchini, Giacomo; Hadjimarcou, John S.; Kim, Si Hyun",2020,44
OSTD,ORGANIZATION STUDIES,Collective Memories as a Vehicle of Fantasy and Identification: Founding stories retold,"Foroughi, Hamid",2020,41
JBE,JOURNAL OF BUSINESS ETHICS,Reading Institutional Logics of CSR in India from a Post-colonial Location,"Jammulamadaka, Nimruji",2020,163
ECMTR,ECONOMETRICA,ARROVIAN AGGREGATION OF CONVEX PREFERENCES,"Brandl, Florian; Brandt, Felix",2020,88
ECMTR,ECONOMETRICA,GENERALIZED BELIEF OPERATOR AND ROBUSTNESS IN BINARY-ACTION SUPERMODULAR GAMES,"Oyama, Daisuke; Takahashi, Satoru",2020,88
MS,MANAGEMENT SCIENCE,Judgments Based on Stocks and Flows: Different Presentations of the Same Data Can Lead to Opposing Inferences,"Spiller, Stephen A.; Reinholtz, Nicholas; Maglio, Sam J.",2020,66
MISQ,MIS QUARTERLY,"FOR STARTUPS, ADAPTABILITY AND MENTOR NETWORK DIVERSITY CAN BE PIVOTAL: EVIDENCE FROM A RANDOMIZED EXPERIMENT ON A MOOC PLATFORM","Eesley, Charles; Wu, Lynn",2020,44
AER,AMERICAN ECONOMIC REVIEW,Field Experiments and the Practice of Policy,"Duflo, Esther",2020,110
JBE,JOURNAL OF BUSINESS ETHICS,Hybrid Production Regimes and Labor Agency in Transnational Private Governance,"Graz, Jean-Christophe; Helmerich, Nicole; Prebandier, Cecile",2020,162
MSOM,M&SOM-MANUFACTURING & SERVICE OPERATIONS MANAGEMENT,Is Diversity (Un-)Biased? Project Selection Decisions in Executive Committees,"Oraiopoulos, Nektarios; Kavadias, Stylianos",2020,22
ROES,REVIEW OF ECONOMIC STUDIES,Exchange Rate Policies at the Zero Lower Bound,"Amador, Manuel; Bianchi, Javier; Bocola, Luigi; Perri, Fabrizio",2020,87
ISR,INFORMATION SYSTEMS RESEARCH,When the Bank Comes to You: Branch Network and Customer Omnichannel Banking Behavior,"Zhou, Mi; Geng, Dan; Abhishek, Vibhanshu; Li, Beibei",2020,31
AR,ACCOUNTING REVIEW,How Do Look-Back Analyses and Evidence Specificity Affect Auditors' Planning Judgments?,"Backof, Ann G.; Martin, Roger D.; Thayer, Jane",2020,95
JBE,JOURNAL OF BUSINESS ETHICS,"Loan Guarantees, Corporate Social Responsibility Disclosure and Audit Fees: Evidence from China","Wang, Fangjun; Xu, Luying; Guo, Fei; Zhang, Junrui",2020,166
OR,OPERATIONS RESEARCH,Information and Memory in Dynamic Resource Allocation,"Xu, Kuang; Zhong, Yuan",2020,68
JFQA,JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS,Emerging Markets Are Catching Up: Economic or Financial Integration?,"Akbari, Amir; Ng, Lilian; Solnik, Bruno",2020,55
HBR,HARVARD BUSINESS REVIEW,PRESIDENTIAL OBSESSION,"Kehoe, Jeff",2020,98
MS,MANAGEMENT SCIENCE,The Isolated Choice Effect and Its Implications for Gender Diversity in Organizations,"Chang, Edward H.; Kirgios, Erika L.; Rai, Aneesh; Milkman, Katherine L.",2020,66
ROES,REVIEW OF ECONOMIC STUDIES,"Aging in Place, Housing Maintenance, and Reverse Mortgages","Cocco, Joao F.; Lopes, Paula",2020,87
CAR,CONTEMPORARY ACCOUNTING RESEARCH,The Informational Effects of Tightening Oil and Gas Disclosure Rules,"Badia, Marc; Duro, Miguel; Jorgensen, Bjorn N.; Ormazabal, Gaizka",2020,37
JBE,JOURNAL OF BUSINESS ETHICS,A Stakeholder Theory Perspective on Business Models: Value Creation for Sustainability,"Freudenreich, Birte; Luedeke-Freund, Florian; Schaltegger, Stefan",2020,166
JPE,JOURNAL OF POLITICAL ECONOMY,Long-Term-Care Utility and Late-in-Life Saving,"Ameriks, John; Briggs, Joseph; Caplin, Andrew; Shapiro, Matthew D.; Tonetti, Christopher",2020,128
JFQA,JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS,Do Informal Contracts Matter for Corporate Innovation? Evidence from Social Capital,"Gupta, Atul; Raman, Kartik; Shang, Chenguang",2020,55
SEJ,STRATEGIC ENTREPRENEURSHIP JOURNAL,Do differences among accelerators explain differences in the performance of member ventures? Evidence from 117 accelerators in 22 countries,"Chan, Chien Sheng Richard; Patel, Pankaj C.; Phan, Phillip H.",2020,14
MS,MANAGEMENT SCIENCE,The Role of Decision Support Systems in Attenuating Racial Biases in Healthcare Delivery,"Ganju, Kartik K.; Atasoy, Hilal; McCullough, Jeffery; Greenwood, Brad",2020,66
JFE,JOURNAL OF FINANCIAL ECONOMICS,Sovereign credit risk and exchange rates: Evidence from CDS quanto spreads,"Augustin, Patrick; Chernov, Mikhail; Song, Dongho",2020,137
JBV,JOURNAL OF BUSINESS VENTURING,Perceived project transition support and employees' assessments of entrepreneurial project performance,"Patzelt, Holger; Behrens, Judith; Wolfe, Marcus T.; Shepherd, Dean A.",2020,35
JFE,JOURNAL OF FINANCIAL ECONOMICS,How do venture capitalists make decisions?,"Gompers, Paul A.; Gornall, Will; Kaplan, Steven N.; Strebulaev, Ilya A.",2020,135
OS,ORGANIZATION SCIENCE,Shaping the Future: Strategy Making as Artificial Evolution,"Patvardhan, Shubha; Ramachandran, J.",2020,31
ISR,INFORMATION SYSTEMS RESEARCH,Words Matter! Toward a Prosocial Call-to-Action for Online Referral: Evidence from Two Field Experiments,"Jung, Jaehwuen; Bapna, Ravi; Golden, Joseph M.; Sun, Tianshu",2020,31
POM,PRODUCTION AND OPERATIONS MANAGEMENT,Social Promotion: A Creative Promotional Framework on Consumers' Social Network Value,"Gao, Haibing; Zhao, Huazhong; Tan, Yinliang (Ricky); Lin, Ya (Lisa); Wei, Lai",2020,29
QJE,QUARTERLY JOURNAL OF ECONOMICS,"EARNINGS DYNAMICS, CHANGING JOB SKILLS, AND STEM CAREERS","Deming, David J.; Noray, Kadeem",2020,135
JAE,JOURNAL OF ACCOUNTING & ECONOMICS,Auditors are known by the companies they keep,"Cook, Jonathan; Kowaleski, Zachary T.; Minnis, Michael; Sutherland, Andrew; Zehms, Karla M.",2020,70
OBHDP,ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,Fostering creativity across countries: The moderating effect of cultural bundles on creativity,"Yong, Kevyn; Mannucci, Pier Vittorio; Lander, Michel W.",2020,157
JBE,JOURNAL OF BUSINESS ETHICS,When Guilt is Not Enough: Interdependent Self-Construal as Moderator of the Relationship Between Guilt and Ethical Consumption in a Confucian Context,"Chen, Yanyan; Moosmayer, Dirk C.",2020,161
JM,JOURNAL OF MARKETING,Branding Cultural Products in International Markets: A Study of Hollywood Movies in China,"Gao, Weihe; Ji, Li; Liu, Yong; Sun, Qi",2020,84
JOOM,JOURNAL OF OPERATIONS MANAGEMENT,The role of operational expenditures and misalignments in fundraising for international humanitarian aid,"Turrini, Laura; Besiou, Maria; Papies, Dominik; Meissner, Joern",2020,66
JOOM,JOURNAL OF OPERATIONS MANAGEMENT,Sourcing structures and the execution efficiency of information technology projects: A comparative evaluation using stochastic frontier analysis,"Mishra, Anant; Sinha, Kingshuk K.; Thirumalai, Sriram; Van de Ven, Andrew",2020,66
JBE,JOURNAL OF BUSINESS ETHICS,"Can Honesty Oaths, Peer Interaction, or Monitoring Mitigate Lying?","Beck, Tobias; Buehren, Christoph; Frank, Bjoern; Khachatryan, Elina",2020,163
OBHDP,ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,Revisiting attribute framing: The impact of number roundedness on framing,"Jain, Gaurav; Gaeth, Gary J.; Nayakankuppam, Dhananjay; Levin, Irwin P.",2020,161
RP,RESEARCH POLICY,"Global networks, local specialisation and regional patterns of innovation","Ascani, Andrea; Bettarelli, Luca; Resmini, Laura; Balland, Pierre-Alexandre",2020,49
RP,RESEARCH POLICY,Why matter matters: How technology characteristics shape the strategic framing of technologies,"Hoppmann, Joern; Anadon, Laura Diaz; Narayanamurti, Venkatesh",2020,49
MKTGSC,MARKETING SCIENCE,Profiting from the Decoy Effect: A Case Study of an Online Diamond Retailer,"Wu, Chunhua; Cosguner, Koray",2020,39
AMR,ACADEMY OF MANAGEMENT REVIEW,WHEN PEOPLE DON'T REALIZE THEIR CAREER DESIRES: TOWARD A THEORY OF CAREER INACTION,"Verbruggen, Marijke; De Vos, Ans",2020,45
JBE,JOURNAL OF BUSINESS ETHICS,Enabling Sustainable Transformation: Hybrid Organizations in Early Phases of Path Generation,"Alexius, Susanna; Furusten, Staffan",2020,165
JFE,JOURNAL OF FINANCIAL ECONOMICS,Democracy and credit,"Delis, Manthos D.; Hasan, Iftekhar; Ongena, Steven",2020,136
AER,AMERICAN ECONOMIC REVIEW,Way Down in the Hole: Adaptation to Long-Term Water Loss in Rural India,"Blakeslee, David; Fishman, Ram; Srinivasan, Veena",2020,110
JMS,JOURNAL OF MANAGEMENT STUDIES,Preserving a Professional Institution: Emotion in Discursive Institutional Work,"Goodrick, Elizabeth; Jarvis, Lee C.; Reay, Trish",2020,57
RP,RESEARCH POLICY,"Meeting, mating, and intermediating: How incubators can overcome weak network problems in entrepreneurial ecosystems","van Rijnsoever, Frank J.",2020,49
ROAS,REVIEW OF ACCOUNTING STUDIES,Audit partner identification and audit quality,"Lee, Kyungha Kari; Levine, Carolyn B.",2020,25
MSOM,M&SOM-MANUFACTURING & SERVICE OPERATIONS MANAGEMENT,Loyalty Program Liabilities and Point Values,"Chun, So Yeon; Iancu, Dan A.; Trichakis, Nikolaos",2020,22
AER,AMERICAN ECONOMIC REVIEW,Turnover Liquidity and the Transmission of Monetary Policy,"Lagos, Ricardo; Zhang, Shengxing",2020,110
AR,ACCOUNTING REVIEW,Firm Risk and Disclosures about Dispersion of Asset Values: Evidence from Oil and Gas Reserves,"Badia, Marc; Barth, Mary E.; Duro, Miguel; Ormazabal, Gaizka",2020,95
MS,MANAGEMENT SCIENCE,The Uncertain Value of Uncertainty: When Consumers Are Unwilling to Pay for What They Like,"Moon, Alice; Nelson, Leif D.",2020,66
